,Cancer.cells,Endothelial,Fibroblast,Melanocyte,MoMacDC,Normal.Kerat,Pericyte,PlasmaCell
cosmx_bcc_xdonor_spot_0000000913,0.9848691692132077,1.5720849082408526e-15,0.015072070070225669,8.136399637812275e-12,1.5720849082408526e-15,1.5720849082408526e-15,5.8760708423828205e-05,1.5720849082408526e-15
cosmx_bcc_xdonor_spot_0000000914,0.9999999999999821,1.4985502691007613e-15,1.4985502691007613e-15,1.4985502691007613e-15,1.4985502691007613e-15,1.4985502691007613e-15,8.71797999769511e-15,1.4985502691007613e-15
cosmx_bcc_xdonor_spot_0000000915,0.9999999999999891,1.514594217250614e-15,1.514594217250614e-15,1.514594217250614e-15,1.514594217250614e-15,1.514594217250614e-15,1.514594217250614e-15,1.514594217250614e-15
cosmx_bcc_xdonor_spot_0000000916,0.9994695713375701,1.665950779730311e-14,1.583515972627975e-15,1.583515972627975e-15,1.583515972627975e-15,1.583515972627975e-15,0.0005304286624051858,1.583515972627975e-15
cosmx_bcc_xdonor_spot_0000000917,0.9999999999999885,1.615889109815091e-15,1.615889109815091e-15,1.615889109815091e-15,1.615889109815091e-15,1.615889109815091e-15,1.615889109815091e-15,1.615889109815091e-15
cosmx_bcc_xdonor_spot_0000000918,0.9999999999999882,1.6506737368993554e-15,1.6506737368993554e-15,1.6506737368993554e-15,1.6506737368993554e-15,1.6506737368993554e-15,1.6506737368993554e-15,1.6506737368993554e-15
cosmx_bcc_xdonor_spot_0000000919,0.9999999989183536,1.6871761296983296e-15,1.6871761296983296e-15,1.6871761296983296e-15,1.6871761296983296e-15,1.6871761296983296e-15,1.0816361793672277e-09,1.6871761296983296e-15
cosmx_bcc_xdonor_spot_0000000920,0.9968734777176678,1.6638977792093702e-15,1.6638977792093702e-15,1.6638977792093702e-15,1.6638977792093702e-15,1.6638977792093702e-15,7.873568469043638e-08,0.0031264435466389945
cosmx_bcc_xdonor_spot_0000001208,0.9255542258476815,1.6398786397071947e-15,1.6398786397071947e-15,0.021181972408995223,1.6398786397071947e-15,0.047378006374365365,0.005885795368951024,1.6398786397071947e-15
cosmx_bcc_xdonor_spot_0000001209,0.9999999999999895,1.470733127283593e-15,1.470733127283593e-15,1.470733127283593e-15,1.470733127283593e-15,1.470733127283593e-15,1.470733127283593e-15,1.470733127283593e-15
cosmx_bcc_xdonor_spot_0000001210,0.9999999999999901,1.3733150468406633e-15,1.3733150468406633e-15,1.3733150468406633e-15,1.3733150468406633e-15,1.3733150468406633e-15,1.3733150468406633e-15,1.3733150468406633e-15
cosmx_bcc_xdonor_spot_0000001213,0.9985957675431932,1.5376465050822481e-15,1.5376465050822481e-15,1.5376465050822481e-15,1.5376465050822481e-15,1.5376465050822481e-15,2.2249619634592194e-06,0.001402007494835434
cosmx_bcc_xdonor_spot_0000001214,0.9999999999999895,1.4687566455424056e-15,1.4687566455424056e-15,1.4687566455424056e-15,1.4687566455424056e-15,1.4687566455424056e-15,1.4687566455424056e-15,1.4687566455424056e-15
cosmx_bcc_xdonor_spot_0000001215,0.9999985538826436,1.649040185926608e-15,1.649040185926608e-15,1.649040185926608e-15,1.649040185926608e-15,1.649040185926608e-15,3.9951455181873175e-08,1.4061658926700743e-06
cosmx_bcc_xdonor_spot_0000001216,0.9999999999999883,1.626758838897842e-15,1.626758838897842e-15,1.626758838897842e-15,1.626758838897842e-15,1.626758838897842e-15,1.626758838897842e-15,1.626758838897842e-15
cosmx_bcc_xdonor_spot_0000001217,0.9999999999999839,1.6509298161880792e-15,1.6509298161880792e-15,1.6509298161880792e-15,1.6509298161880792e-15,1.6509298161880792e-15,5.9353831753643915e-15,1.6509298161880792e-15
cosmx_bcc_xdonor_spot_0000001218,0.999999999999988,1.6722823101840235e-15,1.6722823101840235e-15,1.6722823101840235e-15,1.6722823101840235e-15,1.6722823101840235e-15,1.6722823101840235e-15,1.6722823101840235e-15
